,Direct-Opt,Direct-Approx,Breiman (B=1),Breiman (B=10)
Ground-truth cor,1.000,1.000,1.000,1.000
Max score diff,0.002,0.001,0.000,0.000
Mean score diff,0.000,0.000,0.000,0.000
Time (ms),11.17,25.21,11.36,123.40
