,Direct-Opt,Direct-Approx,Breiman (B=1),Breiman (B=10)
Ground-truth cor,-0.000,-0.000,0.000,0.000
Max score diff,0.377,0.339,0.343,0.328
Mean score diff,0.053,0.051,0.052,0.050
Time (ms),3.84,1.15,8.04,59.98
